ID,Name,SpType,[Fe/H],e[Fe/H],A(Li),eA(Li),Teff_K,eTeff_K,vsini,Age_Ga,eAge_Ga,M_Msol,eM_Msol,logRHK,elogRHK,Prot_d,R_Rsol,N_planets,sum_Mp,Porb_d,a_au,e,logOD,Pl,Nbr.
HD10476,* 107 Psc  ,K1V,-0.01,0.02,0.24,,5489,756,1.7,4.239,3.87,0.842,0.024,-5.056894908085,0.0924231663050001,35.2,0.834,,,,,,,N,
HD104760,HD 104760  ,G2/3III,0.1,0.04,2.16,0.1,5841,45,1.8,4.489,2.197,1.052,0.046,-4.94125894781,0,,1.142,,,,,,,N,
HD104800,HD 104800  ,G0V,-0.8,0.02,1.31,0.04,5745,131,1.8,8.353,2.949,0.799,0.026,-4.822922991295,0.00380265042500039,16,0.975,,,,,,,N,
HD104860,HD 104860  ,F8,-0.18,0.08,,,5939,82,15,3.52,2.763,0.979,0.041,-4.326750541785,0.0177956782749993,3,1.026,,,,,,,N,
HD104982,HD 104982  ,G2 V,-0.19,0.01,0.1,,5726,52,2,5.42,3.163,0.906,0.033,-4.764567019435,-0.112671581344999,32.372898,0.96,,,,,,,N,
HD105113,HD 105113  ,G0V,-0.08,0.03,2.49,0.06,5908,40,2.7,5.77,0.14,1.124,0.017,-4.72591486259,-0.19516509835,,2.131,,,,,,,N,
HD105328,HD 105328  ,G2V,0.16,0.03,2.56,0.1,5951,54,4.5,4.642,0.913,1.173,0.038,,,0.535521,1.51,,,,,,,N,
HD105405,HD 105405  ,F8,-0.21,0.03,2.71,0.03,6273,68,3.6,3.654,1.239,1.081,0.034,-4.718357920895,-0.0554377263349997,29.5334,1.299,,,,,,,N,
HD105779,HD 105779  ,G3V,-0.25,0.05,1.63,0.02,5812,55,,4.153,2.891,0.917,0.034,,,,0.966,,,,,,,N,
HD105837,HD 105837  ,G2/3V,-0.5,0.01,2.09,0.1,5891,122,2.92,6.805,3.817,0.859,0.038,-4.67472283958,-0.0257336544000006,16,0.981,,,,,,,N,
HD105938,HD 105938  ,F7V,0.05,0.04,2.47,0.1,6150,56,5.4,3.576,0.58,1.291,0.059,,,,1.989,,,,,,,N,
HD106116,HD 106116  ,G5V,0.14,0.01,0.09,,5787,233,2.055,3.628,3.408,1.016,0.044,-4.750663460285,-0.209474259175,,1.117,,,,,,,N,
HD106290,HD 106290  ,G1V,0.13,0.05,2.42,0.1,5952,54,,1.774,1.524,1.09,0.041,-4.8284906188,-0.02474194806,21,1.099,,,,,,,N,
HD106453,HD 106453  ,K0/1V+(G),0.1,0.03,1.33,0.14,5634,141,4,3.202,3.12,0.96,0.036,,,13.6129,0.949,,,,,,,N,
HD10647,* q01 Eri  ,F8V,-0.1,0.01,2.74,0.02,6143,70,5.3,1.645,1.338,1.084,0.031,-4.60745308112,,27.1518,0.998,1,0.93,1003,2.03,0.1,10.2421231,Y,1
HD106589,HD 106589  ,G5V,-0.23,0.04,0.49,,5644,57,2.7,7.882,3.275,0.881,0.037,,,,0.985,,,,,,,N,
HD10697,* 109 Psc  ,G3Va,0.18,0.03,1.97,,5654,46,1.5,7.124,0.533,1.127,0.02,-5.04175893038,,36.9,1.889,1,6.83,1076.4,2.16,0.1,8.1686459,Y,1
HD10700,* tau Cet  ,G8V,-0.51,0.01,-0.12,,,716,0.518,8.2,3.2,0.77,0.02,-5.08524233274,0.14902400177,34,0.751,2,0.0124,162.87,0.538,0.16,8.9175420,Y,2
HD107094,HD 107094  ,G5V,-0.51,0.03,1.91,0.15,5585,63,1.8,5.822,4.012,0.784,0.027,,,,0.842,,,,,,,N,
HD107146,HD 107146  ,G2V,-0.04,0.03,3.02,0.04,5865,28,4.9,0.786,0.672,1.018,0.017,-4.529274631825,0.324181811445,2,0.985,,,,,,,N,
HD107148,HD 107148  ,G5V,0.31,0.02,1.32,0.04,5761,48,1.3,2.432,1.576,1.1,0.025,-5.011872310945,0.0131177227350001,,1.162,1,0.21,48.056,0.269,0.05,4.8569135,Y,1
HD107213,* 9 Com  ,G2/3V,0.27,0.02,1.05,,6296,50,8.4,2.332,0.167,1.432,0.016,-4.994563931355,0.0963501439650001,,1.976,,,,,,,N,
HD107633,HD 107633  ,G6V,0.12,0.03,1.73,0.03,5833,49,,0.88,0.76,1.054,0.018,,,,1.008,,,,,,,N,
HD107649,HD 107649  ,F5V,0.18,0.14,,,6725,637,72,1.907,1.757,1.27,0.058,,,,1.352,,,,,,,N,
HD107692,HD 107692  ,G1.5 V,0.14,0.03,2.23,0.02,5861,62,3.6,1.5,1.312,1.078,0.027,-4.729621688715,0.0421171163149996,,1.081,,,,,,,N,
HD107705,* 17 Vir  ,G2/3V,0.12,0.03,2.89,0.03,6085,59,6.3,2.286,1.293,1.16,0.031,-4.82854455625,0.0285470534399996,9,1.242,,,,,,,N,
HD108063,HD 108063  ,G2/3V,0.59,0.05,0.66,,5883,49,4.6,2.237,0.204,1.61,0.032,,,,2.68,,,,,,,N,
HD108147,HD 108147  ,F8/G0V,0.15,0.02,2.32,0.06,6203,54,5.85,0.8,0.61,1.212,0.022,-4.743318113345,0.0389361776449997,,1.235,1,0.261,10.8985,0.102,0.53,1.9501642,Y,1
HD108204,HD 108204  ,G5V,-0.32,0.04,0.85,,5610,86,1.7,10.488,1.032,0.866,0.015,,,,1.105,,,,,,,N,
HD108309,HD 108309  ,G2 V,0.12,0.01,0.94,0.07,5732,70,2.7,8.071,1.217,1.046,0.025,-4.88969238071,-0.0079631363299999,,1.419,,,,,,,N,
HD108768,HD 108768  ,G6V,0.14,0.05,0.75,,5584,68,,3.324,2.972,0.977,0.041,,,,0.998,,,,,,,N,
HD108874,HD 108874  ,G9 V,0.23,0.02,0.58,0.2,5556,115,2,4.554,3.715,1.004,0.039,-5.06426813365,,,1.093,2,2.378,395.4,1.051,0.07,7.7963461,Y,2
HD108942,HD 108942  ,G5,0.22,0.1,1.42,0.04,5824,76,2.2,2.353,1.845,1.107,0.032,-4.898219530535,0.0548270338250001,27,1.134,,,,,,,N,
HD10895,HD 10895  ,G3V,-0.27,0.05,1.68,0.12,5687,44,,3.406,3.103,0.869,0.04,,,,0.869,,,,,,,N,
HD108954,HD 108954  ,G2/3V,-0.09,0.03,2.84,0.03,6049,81,4.5,1.836,1.577,1.064,0.034,-4.805350631235,-0.018300403075,,1.095,,,,,,,N,
HD109098,HD 109098  ,G3/5V,0.08,0.04,2.44,0.12,5923,49,2.7,5.268,1.051,1.178,0.06,,,,1.823,,,,,,,N,
HD109246,HD 109246  ,G0V,0.09,0.04,1.68,,5827,49,,2.794,1.879,1.054,0.03,,,,1.131,1,0.77,68.27,0.33,0.12,4.9626441,Y,1
HD109271,HD 109271  ,G3/5V,0.09,0.04,1.38,,5748,47,2.7,7.662,1.719,1.024,0.042,-4.9962,0.0074,,1.304,2,0.13,7.8543,0.079,0.15,1.3231443,Y,2
HD109310,HD 109310  ,G2/3V,-0.51,0.01,2.08,0.1,5941,385,2.95,4.232,3.84,0.888,0.047,,,25.125601,1.005,,,,,,,N,
HD109358,* bet CVn  ,G2/3V,-0.18,0.02,1.64,0.06,6043,183,2.9,3.396,3.161,0.977,0.048,-4.81681386137,-0.0283592315199996,17,1.048,,,,,,,N,
HD109409,HD 109409  ,G3 IV,0.32,0.02,2.51,0.02,5826,59,3,4.457,0.684,1.259,0.046,-5.327722362985,0.265801592614999,,1.848,,,,,,,N,
HD109684,HD 109684  ,G2/3V,-0.34,0.01,2.2,0.1,6008,82,3.04,8.712,1.584,0.93,0.032,,,,1.291,,,,,,,N,
HD109723,HD 109723  ,G5V,-0.06,0.05,1.54,0.2,5638,52,2.7,2.099,2.083,0.917,0.035,,,,0.9,,,,,,,N,
HD109749,HD 109749  ,G3V+K5V,0.16,0.1,2.1,0.05,5805,95,1.7,5.708,2.109,1.08,0.037,-4.825284410725,-0.128243741645,32,1.346,1,0.28,5.23921,0.0635,0.0451,0.2207751,Y,1
HD109988,HD 109988  ,K0IV/V,0.13,0.05,0.11,,5130,227,0.9,4.404,3.945,0.869,0.029,,,40.0802,0.91,,,,,,,N,
HD11007,HD 11007  ,F8V,-0.18,0.05,2.48,0.03,5980,56,4.2,7.149,0.424,1.047,0.019,-4.702545267055,-0.244736922185,,1.707,,,,,,,N,
HD110291,HD 110291  ,K1/2III+F/G,-0.02,0.05,0.27,,5453,291,,4.355,3.914,0.907,0.038,,,,0.99,,,,,,,N,
HD110537,HD 110537  ,G2/3V,0.1,0.03,0.72,0.04,5675,66,1.89,7.786,2.07,0.991,0.029,-4.98670078618,0,,1.222,,,,,,,N,
HD110619,HD 110619  ,G5 V,-0.41,0.01,1.07,0.12,5722,62,1,3.224,2.952,0.841,0.029,-4.77906019022,-0.00573865038999966,15.9821,0.877,,,,,,,N,
HD110668,HD 110668  ,G3/5V,0.15,0.04,1.56,0.15,5837,56,2.7,2.834,2.126,1.077,0.044,,,,1.143,,,,,,,N,
HD110869,HD 110869  ,G5V,0.05,0.06,1.82,0.02,5790,62,2.52,2.81,2.225,1.025,0.033,,,,1.062,,,,,,,N,
HD110897,* 10 CVn  ,F9 V Fe-0.3,-0.5,0.03,2.04,0.11,5968,50,0.1,7.539,2.257,0.864,0.031,-4.82400063416,-0.00327265295999979,15,1.032,,,,,,,N,
HD111031,HD 111031  ,G5V,0.27,0.02,0.81,0.12,5761,51,1.9,4.797,1.395,1.084,0.024,-5.172839269435,0.165280618145,,1.246,,,,,,,N,
HD111066,HD 111066  ,F8V,-0.04,0.03,2.35,0.03,6126,84,3.6,4.668,0.997,1.146,0.042,-4.904276223585,0.0508197803149999,,1.514,,,,,,,N,
HD11112,HD 11112  ,G3V,0.2,0.02,2.43,0.1,5866,35,2.7,4.831,0.873,1.171,0.036,,,14.3885,1.508,,,,,,,N,
HD111232,HD 111232  ,G8 V Fe-1.0,-0.46,0.02,-0.03,,,111,4,5.498,4.063,0.819,0.03,-5.064518036435,0.122479265075,,0.914,1,6.8,1143,1.97,0.2,9.4902608,Y,1
HD11131,V* EZ Cet  ,G0,-0.02,0.03,2.55,0.1,5793,30,2.1,1.094,0.929,1.025,0.02,-4.44148813239,0.0451369874400003,10,1.031,,,,,,,N,
HD111347,HD 111347  ,F7V,-0.1,0.05,,,6410,115,49.4,1.704,1.253,1.188,0.039,,,,1.269,,,,,,,N,
HD111395,HD 111395  ,G2/3V,0.16,0.02,1.39,0.11,5649,28,2.9,0.84,0.731,0.987,0.019,-4.715602118295,0.174138017035,13,0.949,,,,,,,N,
HD111515,HD 111515  ,G6/8V,-0.61,0.01,0.21,,5662,553,3.9,4.222,3.965,0.775,0.027,-4.91200568086,0,39,0.834,,,,,,,N,
HD111564,HD 111564  ,G0V,0.08,0.04,2.3,,6014,47,3.6,2.791,1.476,1.095,0.029,-4.83084355225,-0.0588965830800001,1.09058,1.227,,,,,,,N,
HD111777,HD 111777  ,G2/3V,-0.65,0.01,0.4,,5828,119,2.5,0.253,0.076,3.33,0.418,,,,0.966,,,,,,,N,
HD11195,HD 11195  ,G5V,-0.11,0.04,1.52,0.02,5639,95,0.77,4.804,3.792,0.925,0.037,,,,0.989,,,,,,,N,
HD112257,HD 112257  ,G6 V,-0.03,0.03,1.14,,5693,77,1.8,8.484,2.334,0.95,0.029,-4.62269234671,-0.19983265868,22,1.168,,,,,,,N,
HD11226,HD 11226  ,G2/3V,0.04,0.01,2.5,0.02,6009,55,3.03,5.497,0.876,1.107,0.027,-5.138197450275,0.211764475514999,,1.41,,,,,,,N,
HD112283,HD 112283  ,F5/8V,-0.16,0.06,2.85,0.1,6326,83,5.4,1.862,1.427,1.122,0.049,,,,1.202,,,,,,,N,
HD112540,HD 112540  ,G7 V,-0.16,0.02,0.24,,5814,304,2.255,3.702,3.575,0.861,0.033,-4.915339240835,-0.130681280295001,,0.871,,,,,,,N,
HD113101,HD 113101  ,G8V,-0.04,0.04,0.5,,5540,101,,4.864,3.998,0.905,0.04,,,,1.015,,,,,,,N,
HD113337,HD 113337  ,F6V,0.07,0.05,,,6667,45,8.8,0.497,0.246,1.449,0.016,-5.003969909315,0.061056437565,,1.523,1,2.83,324,0.92,0.46,7.0504681,Y,
HD113513,HD 113513  ,G5V,0.11,0.05,1.84,0.2,5690,63,2.7,1.265,1.235,0.975,0.028,,,,0.938,,,,,,,N,
HD113538,HD 113538  ,K9Vk:,0,0.1,,,4140,122,3.6,4.545,3.889,0.566,0.017,-4.6985197615,0.0124547430700002,,0.692,2,0.36,663.2,1.24,0.14,9.9183471,Y,
HD113679,HD 113679  ,G2/3V,-0.61,0.02,2.03,0.03,5767,99,4.8,11.395,0.208,0.845,0.01,,,,1.496,,,,,,,N,
HD11397,HD 11397  ,G6IV/V,-0.56,0.03,0.74,0.03,5590,63,2.7,9.439,2.037,0.786,0.017,,,,0.901,,,,,,,N,
HD114174,HD 114174  ,G2/3V,0.07,0.03,0.91,0.03,5726,66,1.98,5.899,2.874,0.989,0.035,-4.870162024205,0.0765018724749993,27,1.118,,,,,,,N,
HD114386,HD 114386  ,K3 V,-0.01,0.03,0.26,,4849,60,0.59,3.774,3.54,0.769,0.019,-4.905465984245,-0.0602039609850005,,0.801,2,2.43,937,1.02,0.06,9.7767829,Y,2
HD114561,HD 114561  ,G3V,-0.09,0.04,1.06,,5862,32,2.7,2.598,2.144,0.994,0.045,,,,1.011,,,,,,,N,
HD114613,HD 114613  ,G2/3V,0.19,0.01,2.62,0.02,5709,276,2.7,3.842,1.043,1.292,0.047,-4.74124572439,-0.264876907410001,,2.053,,,,,,,N,
HD114710,* bet Com  ,G2/3V,0.06,0.02,2.62,0.03,6098,101,4.3,1.338,1.233,1.099,0.03,-4.770500035515,0.164001087385,12.35,1.065,,,,,,,N,
HD114729,HD 114729  ,G0 V,-0.28,0.01,1.88,0.03,5835,23,2.3,9.663,0.287,0.957,0.016,-4.89850369634,0.0812461223200005,0.546236,1.651,1,0.84,1135,2.08,0.32,9.2816092,Y,1
HD114747,HD 114747  ,K2 III-IV,0.22,0.03,0.28,,5106,43,2.169,4.63,3.717,0.87,0.028,,,1.02945,0.896,,,,,,,N,
HD114762,HD 114762  ,F9VgF8mF4+M6?V,-0.66,0.02,2.04,,5946,80,1.8,10.657,0.887,0.845,0.017,-4.74408970165,-0.12523153266,12,1.269,1,10.98,83.9151,0.353,0.3354,3.6908912,Y,1
HD114783,HD 114783  ,K1V,0.06,0.02,0.24,,5100,56,2,4.048,3.593,0.841,0.023,-5.0913889783,,,0.862,2,6.91,493.7,1.16,0,8.0613251,Y,2
HD114826,HD 114826  ,G3/5V,0.03,0.07,2.6,0.02,5811,35,5.8,1.5,1.216,1.034,0.024,-4.21588052946,-0.2436749539,8.55,1.003,,,,,,,N,
HD114853,HD 114853  ,G1.5 V,-0.23,0.01,0.4,,5729,81,2.081,6.345,3.75,0.89,0.035,-4.665482513155,-0.176196035195,,1.011,,,,,,,N,
HD115043,HD 115043  ,G2/3V,-0.16,0.1,2.76,0.03,5885,58,7.5,1.26,1.114,1.021,0.025,-4.61580337569,0.20784765862,6,0.989,,,,,,,N,
HD11505,HD 11505  ,G5V,-0.22,0.01,0.29,,5806,33,3,10.461,0.856,0.905,0.017,-5.103864989405,0.196989154395,22,1.201,,,,,,,N,
HD11506,HD 11506  ,G0V,0.24,0.1,2.96,0.07,6116,80,5.01,1.507,1.034,1.224,0.026,-4.781678527225,-0.115664777825,21,1.34,2,4.31,170.46,0.639,0.22,5.7416566,Y,2
HD115169,HD 115169  ,G3V,-0.04,0.04,1.36,0.09,5856,64,1.95,2.341,2.018,1.001,0.032,,,,1.018,,,,,,,N,
HD115341,HD 115341  ,G1V,-0.03,0.04,2.49,0.1,6019,46,3.6,2.097,1.704,1.063,0.046,,,,1.104,,,,,,,N,
HD115382,HD 115382  ,G5,-0.08,0.1,0.61,0.03,5764,30,2.7,7.224,1.44,0.951,0.024,,,,1.079,,,,,,,N,
HD115383,* e Vir  ,G0V,0.25,0.02,2.76,,6100,103,7.4,,,,,-4.572342065605,0.277099215964999,3.33,1.184,1,4,,,0,,Y,1
HD115499,HD 115499  ,G5/6V,0.07,0.06,1.53,,5472,290,,4.247,3.891,0.92,0.037,,,,0.931,,,,,,,N,
HD115585,HD 115585  ,G5/6IV/V,0.35,0.02,0.51,,5626,91,0.9,6.55,1.765,1.098,0.04,-5.55478533952,0,,1.47,,,,,,,N,
HD115617,* 61 Vir  ,G5V,0,0.01,0.22,,,537,0.8,3.904,3.68,0.942,0.037,-4.93133796278,,29,1.011,3,0.1353,4.215,0.0502,0.12,0.5904150,Y,3
HD115674,HD 115674  ,G5 V Fe-0.7,-0.17,0.01,0.36,,5654,40,1.758,3.645,2.698,0.903,0.03,-4.91191724724,0.14683635686,24,0.898,,,,,,,N,
HD115739,HD 115739  ,G3/5V,0.06,,2.23,0.09,5846,44,2.2,0.903,0.789,1.035,0.019,,,,0.995,,,,,,,N,
HD115773,HD 115773  ,G2/3V,-0.07,0.04,0.41,,6283,71,4.67,3.207,0.488,1.31,0.061,,,14.1864,2.088,,,,,,,N,
HD115902,HD 115902  ,G5V,-0.01,0.05,0.7,,5621,138,,5.839,4.131,0.966,0.047,,,,1.117,,,,,,,N,
HD11608,HD 11608  ,K1/2V,0.22,0.15,0.02,,4951,75,,4.325,3.91,0.833,0.024,,,8.8,0.869,,,,,,,N,
HD116259,HD 116259  ,G5/6V,0.09,0.04,0.41,,5705,217,2.7,5.767,3.832,1.058,0.058,-4.559919586815,-0.548188010655,,1.425,,,,,,,N,
HD116410,HD 116410  ,G3V,0.22,0.04,2.11,0.1,5864,60,4.5,2.265,1.843,1.099,0.041,,,,1.126,,,,,,,N,
HD11683,HD 11683  ,G2/3V,-0.21,0.03,1.33,0.15,4975,49,2.8,5.127,4.102,0.751,0.024,,,,0.799,,,,,,,N,
HD117105,HD 117105  ,F9.5 V,-0.29,0.01,1.93,0.03,5937,81,0.9,8.214,2.03,0.928,0.031,-4.891130255235,0.0549176023450002,27.1518,1.202,,,,,,,N,
HD117176,* 70 Vir  ,G5V,-0.04,0.02,1.83,0.06,,604,1.36,3.044,2.698,1.159,0.068,-5.05242667405,0.0045743178600004,,1.633,1,6.6,116.67,0.48,0.43,4.3504475,Y,1
HD117207,HD 117207  ,G7IV-V,0.23,0.02,0.16,,5644,30,1.9,5.363,1.254,1.029,0.02,-5.072283186254,0.259403969955,27.1518,1.122,1,2.06,2627.08,3.78,0.16,11.3942038,Y,1
HD117618,HD 117618  ,G0 V,0.03,0.01,2.24,0.03,5974,30,3.67,3.98,0.925,1.08,0.023,-4.97999504135,0.15311235292,,1.223,2,0.378,25.827,0.176,0,3.3007031,Y,2
HD117939,HD 117939  ,G4 V,-0.22,0.02,0.53,,5705,77,3.6,7.12,3.506,0.898,0.036,-4.96884552668,0.17555681549,2.18069,1.06,,,,,,,N,
HD118203,HD 118203  ,K0,0.18,0.07,2.64,,5829,82,3.23,4.076,0.527,1.308,0.05,,,,2.084,1,2.14,6.13322,0.07,0.2943,-1.0934214,Y,1
HD118466,HD 118466  ,K2V,0.2,0.09,0.02,,4997,75,,5.176,4.166,0.853,0.026,,,,0.889,,,,,,,N,
HD118563,HD 118563  ,G8V,-0.03,0.04,0.19,,5499,147,3.6,4.004,3.712,0.886,0.037,,,18.2983,0.877,,,,,,,N,
HD118972,HD 118972  ,K0 V (k),-0.03,0.03,0.85,0.24,5180,93,5.2,4.023,3.711,0.826,0.025,-4.3973810686,0,1.20364,0.811,,,,,,,N,
HD119124,HD 119124  ,F7V,-0.15,0.05,,,6185,41,10.8,1.45,1.072,1.084,0.03,-4.507523611575,0.159307337245,,1.126,,,,,,,N,
HD119173,HD 119173  ,G0V,-0.62,0.06,1.9,0.12,5914,107,6.3,7.304,3.65,0.843,0.038,,,,0.976,,,,,,,N,
HD119205,HD 119205  ,G5/6V,-0.41,0.04,0.7,,5731,88,,6.241,3.928,0.848,0.032,,,,0.937,,,,,,,N,
HD119629,HD 119629  ,G2/3V,-0.15,0.04,1.26,,6121,50,4.31,3.752,0.493,1.264,0.07,,,,2.181,,,,,,,N,
HD119638,HD 119638  ,G2/3V,-0.15,0.01,2.5,0.02,6086,50,4,4.327,1.368,1.033,0.029,-5.07968614106,-0.15381384676,,1.197,,,,,,,N,
HD119949,HD 119949  ,G2/3V,-0.41,0.02,2.53,0.1,6178,69,4.5,7.049,0.889,0.99,0.033,,,,1.542,,,,,,,N,
HD120066,HD 120066  ,G2/3V,0.12,0.03,2.81,0.12,5912,45,3.5,6.492,0.789,1.094,0.025,-4.824703309465,-0.073227303505,27,1.545,,,,,,,N,
HD120136,* tau Boo  ,F7IV-V,0.21,0.02,2.07,,6420,113,17.86,1.04,0.745,1.333,0.035,-4.625263805,0.0765194730949998,3,1.307,1,5.84,3.31249,0.046,0.0787,-1.6536973,Y,1
HD120237,HD 120237  ,G0V,-0.02,0.03,0.83,,6088,49,5,3.02,1.405,1.104,0.035,-4.68993364657,0.0155067301600003,1.20364,1.219,,,,,,,N,
HD120344,HD 120344  ,G3V,-0.19,0.05,0.38,,5641,42,,6.968,3.463,0.892,0.04,,,,0.996,,,,,,,N,
HD120362,HD 120362  ,G5V,0.1,0.04,0.74,,5485,43,3.6,2.671,2.549,0.93,0.037,,,,0.918,,,,,,,N,
HD120690,HD 120690  ,G5Va,0.01,0.02,1.28,,5576,36,4.9,4.034,2.756,0.947,0.032,-4.812157488745,0.121330694435,,1.045,,,,,,,N,
HD120780,HD 120780  ,K0V,-0.25,0.03,0.21,,5077,69,1,3.759,3.588,0.746,0.02,,,,0.792,,,,,,,N,
HD121504,HD 121504  ,G2V,0.14,0.01,2.56,0.03,6004,137,3.61,1.991,1.871,1.103,0.038,-4.4098602125,-0.25429099308,1.56314,1.121,1,1.22,63.33,0.33,0.03,4.6933312,Y,1
HD121560,HD 121560  ,G2/3V,-0.41,0.02,2.5,0.02,6166,60,3.66,5.612,1.471,0.97,0.029,-4.66723032135,-0.10534237777,13,1.174,,,,,,,N,
HD122308,HD 122308  ,G8V,-0.31,0.04,,,5300,59,2.7,4.396,3.78,0.774,0.027,,,,0.777,,,,,,,N,
HD122474,HD 122474  ,G3/5V,0.13,0.04,0.73,,5715,282,2.7,4.168,3.766,1.015,0.049,,,,1.161,,,,,,,N,
HD12264,HD 12264  ,G5V,-0.04,0.06,1.96,0.02,5805,25,2.25,0.83,0.699,1.004,0.018,,,,0.972,,,,,,,N,
HD122652,HD 122652  ,G2/3V,-0.01,0.03,2.83,0.12,6149,31,4.2,1.458,0.851,1.15,0.024,-4.61031081663,0,,1.165,,,,,,,N,
HD122742,HD 122742  ,G6V,0,0.03,0.45,,5484,47,1.8,6.161,3.478,0.913,0.031,-4.88915846046,0.0189893959300003,37,1.023,,,,,,,N,
HD122862,HD 122862  ,F9.5 V,-0.12,0.01,2.4,0.02,5977,75,2.71,6.816,0.766,1.067,0.025,-5.43031489793,0.0703364959999995,,1.618,,,,,,,N,
HD123265,HD 123265  ,K1V,0.19,0.03,0.33,,5346,98,3.012,4.865,4.016,0.929,0.036,-4.9195865753,-0.21976453538,,0.981,,,,,,,N,
HD123319,HD 123319  ,G2IV/V,-0.52,0.05,2.27,0.12,5693,82,,4.3,3.739,0.804,0.033,,,,0.801,,,,,,,N,
HD12345,HD 12345  ,G2/3V,-0.21,0.02,0.01,,5469,87,0.7,4.388,3.814,0.837,0.032,-5.30628759786,0,,0.861,,,,,,,N,
HD123619,HD 123619  ,F6V,-0.33,0.05,2.46,0.1,6091,50,3.6,7.58,1.127,0.978,0.041,,,9.98104,1.332,,,,,,,N,
HD123651,HD 123651  ,G0/1V,-0.47,0.04,2.06,0.1,5994,96,2.7,5.691,3.688,0.883,0.046,-4.739952317285,0.0607378108750005,14.7,1.038,,,,,,,N,
HD1237,HD 1237  ,G6V,0.05,0.03,2.16,,,171,4.5,3.512,3.4,0.92,0.032,-4.42065061069,0.0694624485800004,6,0.896,1,3.37,133.71,0.49,0.511,5.9348511,Y,1
HD1237A,HD 1237  ,G8.5 V (k),0.12,0.03,2.15,,,171,4.5,3.414,3.317,0.928,0.033,-4.3923,0.0012,6,0.896,1,3.37,133.71,0.49,0.511,5.9448781,Y,1
HD12387,HD 12387  ,G5 V Fe-0.8 CH-0.7,-0.24,0.01,0.09,,5783,23,2,10.455,0.845,0.886,0.016,-4.84203138831,0.00956149619999991,,1.158,,,,,,,N,
HD124364,HD 124364  ,G5 V,-0.27,0.01,1.19,0.15,5727,151,2.32,3.476,3.394,0.853,0.032,-4.83914388192,0.0748954789100003,,0.862,,,,,,,N,
HD124584,HD 124584  ,G0/1V,-0.06,0.03,2.17,0.11,5937,110,3.6,6.405,2.011,1.046,0.043,-4.799009247815,-0.0374889449449993,,1.378,,,,,,,N,
HD124694,HD 124694  ,F8 V,0.04,0.03,3.17,0.04,6176,27,15.3,1.174,0.901,1.14,0.035,-4.686297821705,0.338432453515,,0.625,,,,,,,N,
HD124785,HD 124785  ,F8/G0wF5,-0.56,0.02,0.94,,5774,83,4.5,8.589,0.373,0.947,0.026,,,23.9349,1.892,,,,,,,N,
HD12484,HD 12484  ,G1/2V,0.07,0.03,2.99,,5841,32,8.6,1.607,1.177,1.06,0.022,-4.660818405885,0.345518715884999,3,1.008,1,2.98,58.83,0.297,0.07,4.3514350,Y,1
HD125072,HD 125072  ,G2/3V,0.31,0.03,0.32,,4858,53,3.97,4.969,3.834,0.82,0.019,-5.17118347245,0,13.6,0.854,,,,,,,N,
HD125184,HD 125184  ,G2/3V,0.29,0.02,0.35,,5608,86,1.3,7.174,1.572,1.111,0.047,-4.74901846733,0.2959643067,,1.667,,,,,,,N,
HD125271,HD 125271  ,K3+ V (k),-0.24,0.04,0.17,,4741,87,4,4.374,3.947,0.694,0.021,,,,0.862,,,,,,,N,
HD125595,HD 125595  ,K4Vk:,0.08,0.12,,,4742,79,,4.041,3.943,0.762,0.023,-4.80611869787,-0.19896620364,38.550499,0.8,1,0.042,9.6737,0.0809,0,2.9246253,Y,
HD125612,HD 125612  ,G3V,0.23,0.04,2.5,,5867,36,3,1.092,0.86,1.128,0.018,-4.408378534795,-0.400337544235,20,1.132,3,10.258,4.1547,0.05,0.27,-1.3532554,Y,3
HD125881,HD 125881  ,G2V,0.06,0.01,2.55,0.03,6009,51,2.94,1.169,0.965,1.105,0.024,-4.882877738845,0.177668923715,0.839511,1.106,,,,,,,N,
HD126053,HD 126053  ,G1.5V,-0.35,0.02,1.04,0.02,5716,65,0.1,7.236,3.291,0.853,0.03,-4.635840402385,-0.158457419385,19,0.962,,,,,,,N,
HD126525,HD 126525  ,G5V,-0.11,0.01,-0.05,,,72,3,5.278,3.604,0.924,0.036,-4.87792942934,-0.00331791326000008,26.441,1.014,1,0.224,948.12,1.8105,0.13,10.5349718,Y,1
HD12661,HD 12661  ,K0V,0.36,0.03,1.01,0.19,5656,57,4,4.907,1.751,1.068,0.024,-5.04843066865,-0.00603343363999986,30.422899,1.184,2,3.87,263.6,0.83,0.031,6.7196939,Y,2
HD126614,HD 126614  ,G8IV,0.49,0.03,0.53,,5492,96,3.2,7.15,2.13,1.04,0.036,-4.902334510755,-0.257356580955,,1.353,1,0.38,1244,2.35,0.41,10.3272479,Y,1
HD126681,HD 126681  ,G3V,-1.14,0.04,1.52,0.03,5728,129,3.1,5.303,4.172,0.729,0.026,,,,0.79,,,,,,,N,
HD126793,HD 126793  ,G0wF3/5,-0.71,0.04,1.46,0.15,5941,191,4.5,8.107,3.133,0.862,0.041,,,,1.265,,,,,,,N,
HD126961,HD 126961  ,G0V,0.11,0.03,2.98,0.02,6203,51,6.3,1.213,0.863,1.192,0.025,-4.63468877737,-0.14289373505,18,1.253,,,,,,,N,
