ID,Name,SpType,[Fe/H],e[Fe/H],A(Li),eA(Li),Teff_K,eTeff_K,vsini,Age_Ga,eAge_Ga,M_Msol,eM_Msol,logRHK,elogRHK,Prot_d,R_Rsol,N_planets,sum_Mp,Porb_d,a_au,e,logOD,Pl,Nbr.
HIP88427,BD+35 3136  ,G0,-0.16,0.02,0.57,,5777,67,,9.042,1.804,0.931,0.027,,,,1.14,,,,,,,N,
Kepler-14,KOI-98  ,,0.05,0.04,2.87,,,0,7.9,,,,,,,2.61,2.02,1,8.4,6.790123,,0.035,,Y,1
Kepler-19,Kepler-19  ,,-0.032,0.04,0.2,,5473,302,1.5,4.232,3.88,0.9,0.033,,,20.27,0.838,3,0.138,9.2869944,0.085,0.05,2.4232166,Y,3
Kepler-43,Kepler-43  ,G0,0.33,0.11,2.2,,5892,65,5.5,,,,,,,12.851,1.43,1,3.23,3.024095,0.0449,0.025,,Y,1
Kepler-435,KOI-680  ,F5V,0.051,0.04,1.55,,5737,295,4.2,,,,,,,33.2,2.46,1,0.84,8.6001536,0.0948,0.114,,Y,1
Kepler-46,KOI-872  ,,0.172,0.04,0.39,,4999,30,1,10.499,1.215,0.845,0.01,,,27.83,0.85,3,1.247,6.76671,0.068,0,0.7675029,Y,3
OGLE-TR-10,V* V5125 Sgr  ,G2V,0.28,0.1,2.28,,6075,86,6.43,,,,,,,,1.49,1,0.68,3.10129,0.04162,0,,Y,1
OGLE-TR-182,OGLE-TR 182  ,,0.37,0.08,1.89,,5924,64,4.53,,,,,,,,1.14,1,1.06,3.9791,0.051,0,,Y,1
OGLE-TR-56,V* V5157 Sgr  ,G(5) V,0.25,0.08,2.63,,,62,5.25,5.287,4.352,0.975,0.065,,,,1.363,1,1.3,1.211909,0.0225,0,-3.3468303,Y,1
Ross 528,Ross 528  ,K4,-0.83,0.1,0.1,,4229,218,,4.495,4.039,0.264,0.01,,,35.75,0.636,,,,,,,N,
V* V4433 Sgr,V* V4433 Sgr  ,G5,-0.42,0.1,1.64,0.12,5684,154,,9.694,1.752,0.902,0.032,,,,1.497,,,,,,,N,
WASP-1,WASP-1  ,F7V,0.23,0.03,3.29,,5920,344,0.1,2.836,1.631,1.325,0.05,,,,1.6,1,0.86,2.5199464,0.0382,0,-1.7826171,Y,1
WASP-12,WASP-12  ,G0V,0.21,0.04,2.65,,,506,3.4,1.952,1.596,1.328,0.051,-5.5,,,1.57,1,1.47,1.0914222,0.02293,0,-3.5464420,Y,1
WASP-13,WASP-13  ,G1V,0.11,0.05,2.17,,5912,214,4.35,4.34,2.043,1.187,0.057,,,,1.58,1,0.485,4.353011,0.05379,0,-0.6051930,Y,1
WASP-18,HD 10069  ,F6IV/V,0.19,0.05,2.81,,6462,265,11,1.35,1.228,1.243,0.04,-4.853,0.0073,0.891369,1.24,2,10.6033,0.9414518,0.02047,0.0088,-4.2469581,Y,2
WASP-21,WASP-21  ,G3V,-0.22,0.04,2.28,,5768,230,1.5,5.939,4.154,0.962,0.05,-4.8655,1.363,,1.18,1,0.3,4.3225126,0.052,0,-0.0193306,Y,1
